Name,Age,Sex,Pclass,Survived
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,female,1,1
"Heikkinen, Miss. Laina",26.0,female,3,1
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,female,1,1
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,female,3,1
"Nasser, Mrs. Nicholas (Adele Achem)",14.0,female,2,1
"Sandstrom, Miss. Marguerite Rut",4.0,female,3,1
"Bonnell, Miss. Elizabeth",58.0,female,1,1
"Hewlett, Mrs. (Mary D Kingcome) ",55.0,female,2,1
"Masselmani, Mrs. Fatima",,female,3,1
"McGowan, Miss. Anna ""Annie""",15.0,female,3,1
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,female,3,1
"O'Dwyer, Miss. Ellen ""Nellie""",,female,3,1
"Spencer, Mrs. William Augustus (Marie Eugenie)",,female,1,1
"Glynn, Miss. Mary Agatha",,female,3,1
"Nicola-Yarred, Miss. Jamila",14.0,female,3,1
"Laroche, Miss. Simonne Marie Anne Andree",3.0,female,2,1
"Devaney, Miss. Margaret Delia",19.0,female,3,1
"O'Driscoll, Miss. Bridget",,female,3,1
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,female,1,1
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,female,2,1
"Rugg, Miss. Emily",21.0,female,2,1
"West, Miss. Constance Mirium",5.0,female,2,1
"Icard, Miss. Amelie",38.0,female,1,1
"Nye, Mrs. (Elizabeth Ramell)",29.0,female,2,1
"Andersson, Miss. Erna Alexandra",17.0,female,3,1
"Dowdell, Miss. Elizabeth",30.0,female,3,1
"McDermott, Miss. Brigdet Delia",,female,3,1
"Ilett, Miss. Bertha",17.0,female,2,1
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,female,3,1
"Fortune, Miss. Mabel Helen",23.0,female,1,1
"Doling, Mrs. John T (Ada Julia Bone)",34.0,female,2,1
"Salkjelsvik, Miss. Anna Kristine",21.0,female,3,1
"Moran, Miss. Bertha",,female,3,1
"Webber, Miss. Susan",32.5,female,2,1
"Peter, Miss. Anna",,female,3,1
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,female,2,1
"Newsom, Miss. Helen Monypeny",19.0,female,1,1
"Nysten, Miss. Anna Sofia",22.0,female,3,1
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,female,3,1
"Pears, Mrs. Thomas (Edith Wearne)",22.0,female,1,1
"Gilnagh, Miss. Katherine ""Katie""",16.0,female,3,1
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.0,female,2,1
"Chibnall, Mrs. (Edith Martha Bowerman)",,female,1,1
"Johnson, Miss. Eleanor Ileen",1.0,female,3,1
"Kink-Heilmann, Miss. Luise Gretchen",4.0,female,3,1
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",,female,3,1
"Pinsky, Mrs. (Rosa)",32.0,female,2,1
"Andersen-Jensen, Miss. Carla Christine Nielsine",19.0,female,3,1
"Brown, Mrs. James Joseph (Margaret Tobin)",44.0,female,1,1
"Lurette, Miss. Elise",58.0,female,1,1
"Madigan, Miss. Margaret ""Maggie""",,female,3,1
"Carr, Miss. Helen ""Ellen""",16.0,female,3,1
"Cameron, Miss. Clear Annie",35.0,female,2,1
"Newell, Miss. Madeleine",31.0,female,1,1
"Honkanen, Miss. Eliina",27.0,female,3,1
"Bazzani, Miss. Albina",32.0,female,1,1
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35.0,female,1,1
"Asplund, Miss. Lillian Gertrud",5.0,female,3,1
"Collyer, Miss. Marjorie ""Lottie""",8.0,female,2,1
"Murphy, Miss. Katherine ""Kate""",,female,3,1
"Hamalainen, Mrs. William (Anna)",24.0,female,2,1
"Touma, Mrs. Darwis (Hanne Youssef Razi)",29.0,female,3,1
"Thorne, Mrs. Gertrude Maybelle",,female,1,1
"Cherry, Miss. Gladys",30.0,female,1,1
"Ward, Miss. Anna",35.0,female,1,1
"Parrish, Mrs. (Lutie Davis)",50.0,female,2,1
"Graham, Mrs. William Thompson (Edith Junkins)",58.0,female,1,1
"Bissette, Miss. Amelia",35.0,female,1,1
"Mellinger, Mrs. (Elizabeth Anne Maidment)",41.0,female,2,1
"Healy, Miss. Hanora ""Nora""",,female,3,1
"Andrews, Miss. Kornelia Theodosia",63.0,female,1,1
"Abbott, Mrs. Stanton (Rosa Hunt)",35.0,female,3,1
"Connolly, Miss. Kate",22.0,female,3,1
"Barber, Miss. Ellen ""Nellie""",26.0,female,1,1
"Bishop, Mrs. Dickinson H (Helen Walton)",19.0,female,1,1
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50.0,female,1,1
"Kelly, Miss. Anna Katherine ""Annie Kate""",,female,3,1
"Keane, Miss. Nora A",,female,2,1
"Fleming, Miss. Margaret",,female,1,1
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17.0,female,1,1
"Francatelli, Miss. Laura Mabel",30.0,female,1,1
"Hays, Miss. Margaret Bechstein",24.0,female,1,1
"Ryerson, Miss. Emily Borie",18.0,female,1,1
"Nilsson, Miss. Helmina Josefina",26.0,female,3,1
"Kantor, Mrs. Sinai (Miriam Sternin)",24.0,female,2,1
"Wick, Miss. Mary Natalie",31.0,female,1,1
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40.0,female,1,1
"Slayter, Miss. Hilda Mary",30.0,female,2,1
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22.0,female,2,1
"Young, Miss. Marie Grice",36.0,female,1,1
"Ball, Mrs. (Ada E Hall)",36.0,female,2,1
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",31.0,female,3,1
"Hippach, Miss. Jean Gertrude",16.0,female,1,1
"McCoy, Miss. Agnes",,female,3,1
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",,female,1,1
"Burns, Miss. Elizabeth Margaret",41.0,female,1,1
"Fortune, Miss. Alice Elizabeth",24.0,female,1,1
"Brown, Miss. Amelia ""Mildred""",24.0,female,2,1
"Smith, Miss. Marion Elsie",40.0,female,2,1
"Davison, Mrs. Thomas Henry (Mary E Finck)",,female,3,1
"Bowerman, Miss. Elsie Edith",22.0,female,1,1
"McGovern, Miss. Mary",,female,3,1
"Mockler, Miss. Helen Mary ""Ellie""",,female,3,1
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",60.0,female,1,1
"Moussa, Mrs. (Mantoura Boulos)",,female,3,1
"Jermyn, Miss. Annie",,female,3,1
"Aubart, Mme. Leontine Pauline",24.0,female,1,1
"Meyer, Mrs. Edgar Joseph (Leila Saks)",,female,1,1
"Landergren, Miss. Aurora Adelia",22.0,female,3,1
"Bidois, Miss. Rosalie",42.0,female,1,1
"Nakid, Miss. Maria (""Mary"")",1.0,female,3,1
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.0,female,1,1
"Buss, Miss. Kate",36.0,female,2,1
"Lehmann, Miss. Bertha",17.0,female,2,1
"Newell, Miss. Marjorie",23.0,female,1,1
